Unbearable | невыносимо
Merely | просто, только
Stock-still | полностью неподвижно
Trolley | тележка
Daze | ошеломить
Dazedly | ошеломлённо
Gaze | взор, смотреть 
Bemoan | оплакивать
Irritating | раздражающий
Decennary | десятилетний
Invigorating | бодрящий
Affable | приветливый
Conduct | руководить
Deceive | обманывать, вводить в заблуждение
Sanctuary | святилище
Fang | клык
Comprised | включает, составляет
Cast | бросать, гипс, литьё
Cast blame | возлагать вину
Bore | бурить
Burden | груз, ноша
To bore a burden | нести бремя
Noble | благородный
Lofty | возвышенный
Peer | вглядываться
Nod | кивок, кивать
Jolt | тряска, трясти
Ruck | морщина, складка
Enough rucks to jolt | достаточно суматохи чтобы встряхнуть
Proposal | предложение
Consider | учитывать, брать во внимание, осознавать
Plumb | отвесный, вертикальный
Stemming | берущий начало, вытекающий из, происходящий
Reprieve | отсрочка
Faction | фракция, чувство интриги
Fleet | флот, миновать, быстрый
Fleeting | скоротечный
Erect | возводить
Inconspicuous | незаметный
Reside | проживать
Unsettling | тревожащий, тревожный
Ought | должен, долг
Ignorance | невежество
Pile up | накапливать(ся)
Bliss | блаженство
Blissful | блаженный
Thus | таким образом
Wisp | огонёк, клочек 
Swirl | завихрение, кружение
Beign cross | сердиться
Furrow | борозда, бороздить, покрывать морщинами
Snort | фыркать
Gown | платье
Garb | одежда, облачать
Persuasive | убедительный
Frown | хмурится
Dote | любить до безумия
Disconsolate | неутешный, печальный
Anticipate | предвидеть
Astir | взволновать, в возбуждении
Mist | туман
Pursuit | погоня
Grasp | понять
Hollow | пустой
Feast | пир
Abhorrent | отвратительный, ненавистный
Mutter | бормотать
Speculation | спекуляция, предположение
Wince | вздрагивать
Perpetuity | бессрочность
Cerise | вишневый цвет
Regard | внимание, отношение
Disregarding | не обращая внимания
Can’t regard | не могу принять во внимание
Apparently | видимо, очевидно
Malice | злоба
Concern | беспокойство
Utterly | чрезвычайно 
Ally | союзник
Resentful | обиженный
Resentment | негодование
Sorrow | печаль
Animosity | враждебность
Glint | блеск
Enmity | враждебность, неприязнь
Dismembering | расчленение
Gouging | выдавливание
Heart-gouging | душераздирающий
Hellion | озорник
Emit | испускать, излучать
Overwhelming | подавляющий, несметный
Eviscerate | потрошить
Thoroughly | тщательно
Demands | требования 
Awe | трепет, страх
Nevertheless | тем не менее
Icicle | сосулька
Spear | копье, пронзать
Appraise | оценивать
Slipshod | небрежный
Stymie | загнать в угол
Audacious | дерзкий
Wound | ранить
Wounded | раненый
Stay composed | оставаться собранным
Incite | подстрекать
Butler | дворецкий
Slender | стройный
Exude | источать
Grace | милость, благодать
Considerate | тактичный
Fondly | нежно, наивно
Valorous | доблестный
Mend | исправлять
Establish | основывать, учреждать
Halt | остановка
Expectant | ожидающий
